contestant;age;location;season;miss-congeniality;casting-special;design;girl-groups;improv;improv-2;runway;choreo;advert;advert-2;makeover;singing;singing-2;rusical;rusical-2;acting;snatch-game;design-2;design-3;stand-up;talent-show;acting-2;main-ball;ball-2;chapter-ball-recap;music-video;Lip Sync;rumix;finale
Chad Michaels;40;"San Diego,
CA";4;0;N/A;SAFE;N/A;HIGH;N/A;N/A;N/A;HIGH;LOW;HIGH;SAFE;N/A;N/A;N/A;"HIGH
TEAM";WIN;SAFE;N/A;N/A;N/A;N/A;"BTM2


MiniChall.Winner";N/A;RUN;TOP3;N/A;N/A;RUNNERUP
Phi Phi O'Hara;25;"Chicago,
IL";4;0;N/A;SAFE;N/A;"LOW 


MiniChall.Winner";N/A;N/A;N/A;"SAFE

TeamCaptain";WIN;WIN;BTM2;N/A;N/A;N/A;"HIGH
TEAM";"LOW 


MiniChall.Winner";HIGH;N/A;N/A;N/A;N/A;HIGH;N/A;RUN;TOP3;N/A;N/A;RUNNERUP
Latrice Royale;39;"South Beach,
FL";4;1;N/A;SAFE;N/A;BTM2;N/A;N/A;N/A;SAFE;"LOW 


MiniChall.Winner";BTM2;WIN;N/A;N/A;N/A;WIN;SAFE;HIGH;N/A;N/A;N/A;N/A;ELIM;N/A;;;N/A;N/A;MISSCON
Kenya Michaels;21;"Dorado,
PR";4;0;N/A;LOW;N/A;;N/A;N/A;N/A;"HIGH 

TeamCaptain";;"RTRN
+
ELIM


MiniChall.Winner";;N/A;N/A;N/A;LOW;ELIM;;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
Dida Ritz;25;"Chicago,
IL";4;0;N/A;SAFE;N/A;ELIM;N/A;N/A;N/A;BTM2;SAFE;;SAFE;N/A;N/A;N/A;SAFE;SAFE;LOW;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
Willam;29;"Los Angeles,
CA";4;0;N/A;SAFE;N/A;;N/A;N/A;N/A;SAFE;BTM2;;"WIN
+
DISQ";N/A;N/A;N/A;"HIGH
TEAM 

TeamCaptain";HIGH;"WIN


MiniChall.Winner";N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
Jiggly Caliente;30;"New York,
NY";4;0;N/A;"BTM2


MiniChall.Winner";N/A;;N/A;N/A;N/A;"SAFE


MiniChall.Winner";ELIM;;;N/A;N/A;N/A;"HIGH
TEAM";SAFE;BTM2;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
Milan;36;"New York,
NY";4;0;N/A;SAFE;N/A;;N/A;N/A;N/A;SAFE;;;;N/A;N/A;N/A;BTM2;BTM2;ELIM;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
Madame LaQueer;29;"Carolina,
PR";4;0;N/A;SAFE;N/A;;N/A;N/A;N/A;LOW;;;;N/A;N/A;N/A;"ELIM

TeamCaptain";;;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
The Princess;31;"Chicago,
IL";4;0;N/A;HIGH;N/A;;N/A;N/A;N/A;ELIM;;;;N/A;N/A;N/A;;;;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
Lashauwn Beyond;21;"Fort Lauderdale,
FL";4;0;N/A;HIGH;N/A;;N/A;N/A;N/A;;;;;N/A;N/A;N/A;;;;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
Alisa Summers;23;"Tampa,
FL";4;0;N/A;ELIM;N/A;;N/A;N/A;N/A;;;;;N/A;N/A;N/A;;;;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
Jinkx Monsoon;25;"Seattle,
WA";5;0;N/A;SAFE;N/A;HIGH;N/A;N/A;"HIGH 

TeamCaptain";HIGH;N/A;HIGH;HIGH;N/A;N/A;N/A;SAFE;WIN;N/A;N/A;N/A;N/A;WIN;BTM2;N/A;RUN;TOP3;N/A;N/A;WINNER
Alaska;27;"Pittsburgh,
PA";5;0;N/A;HIGH;N/A;"LOW 

TeamCaptain";N/A;N/A;SAFE;WIN;N/A;"LOW 


MiniChall.Winner";LOW;N/A;N/A;N/A;SAFE;HIGH;N/A;N/A;N/A;N/A;HIGH;"WIN


MiniChall.Winner";N/A;RUN;TOP3;N/A;N/A;RUNNERUP
Roxxxy Andrews;28;"Orlando,
FL";5;0;N/A;WIN;N/A;HIGH;N/A;N/A;LOW;LOW;N/A;WIN;HIGH;N/A;N/A;N/A;SAFE;"HIGH 


MiniChall.Winner";N/A;N/A;N/A;N/A;HIGH;HIGH;N/A;RUN;TOP3;N/A;N/A;RUNNERUP
Detox;27;"Los Angeles,
CA";5;0;N/A;"SAFE


MiniChall.Winner";N/A;WIN;N/A;N/A;SAFE;HIGH;N/A;BTM2;"SAFE


MiniChall.Winner";N/A;N/A;N/A;"SAFE

TeamCaptain";"BTM2


MiniChall.Winner";N/A;N/A;N/A;N/A;"LOW 

TeamCaptain";ELIM;N/A;;;N/A;N/A;GUEST
Coco Montrese;37;"Las Vegas,
NV";5;0;N/A;SAFE;N/A;BTM2;N/A;N/A;"SAFE

TeamCaptain";LOW;N/A;ELIM;BTM2;N/A;N/A;N/A;SAFE;SAFE;N/A;N/A;N/A;N/A;BTM2;;N/A;;;N/A;N/A;GUEST
Alyssa Edwards;32;"Mesquite,
TX";5;0;N/A;SAFE;N/A;SAFE;N/A;N/A;WIN;BTM2;N/A;;LOW;N/A;N/A;N/A;SAFE;"SAFE


MiniChall.Winner";N/A;N/A;N/A;N/A;"ELIM

TeamCaptain";;N/A;;;N/A;N/A;GUEST
Ivy Winters;26;"New York,
NY";5;1;N/A;HIGH;N/A;SAFE;N/A;N/A;HIGH;"ELIM


MiniChall.Winner";N/A;;WIN;N/A;N/A;N/A;"HIGH
TEAM 

TeamCaptain";LOW;N/A;N/A;N/A;N/A;;;N/A;;;N/A;N/A;MISSCON
Jade Jolie;25;"Gainesville,
FL";5;0;N/A;LOW;N/A;SAFE;N/A;N/A;SAFE;;N/A;;ELIM;N/A;N/A;N/A;SAFE;SAFE;N/A;N/A;N/A;N/A;;;N/A;;;N/A;N/A;GUEST
Lineysha Sparx;24;"San Juan,
PR";5;0;N/A;HIGH;N/A;"SAFE

TeamCaptain";N/A;N/A;SAFE;;N/A;;;N/A;N/A;N/A;WIN;ELIM;N/A;N/A;N/A;N/A;;;N/A;;;N/A;N/A;GUEST
Honey Mahogany;29;"San Francisco,
CA";5;0;N/A;SAFE;N/A;SAFE;N/A;N/A;ELIM;;N/A;;;N/A;N/A;N/A;"HIGH
TEAM";;N/A;N/A;N/A;N/A;;;N/A;;;N/A;N/A;GUEST
Vivienne Pinay;26;"New York,
NY";5;0;N/A;SAFE;N/A;LOW;N/A;N/A;ELIM;;N/A;;;N/A;N/A;N/A;"HIGH
TEAM";;N/A;N/A;N/A;N/A;;;N/A;;;N/A;N/A;GUEST
Monica Beverly Hillz;27;"Owensboro,
KY";5;0;N/A;SAFE;N/A;ELIM;N/A;N/A;;;N/A;;;N/A;N/A;N/A;BTM2;;N/A;N/A;N/A;N/A;;;N/A;;;N/A;N/A;GUEST
Serena ChaCha;21;"Tallahassee,
FL";5;0;N/A;BTM2;N/A;;N/A;N/A;;;N/A;;;N/A;N/A;N/A;"ELIM

TeamCaptain";;N/A;N/A;N/A;N/A;;;N/A;;;N/A;N/A;GUEST
Penny Tration;39;"Cincinnati,
OH";5;0;N/A;ELIM;N/A;;N/A;N/A;;;N/A;;;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;;N/A;;;N/A;N/A;GUEST
"Bianca Del Rio
(Group 2)";38;"New York
City, NY";6;0;N/A;;HIGH;SAFE;N/A;N/A;N/A;HIGH;N/A;"WIN


MiniChall.Winner";N/A;N/A;SAFE;N/A;"HIGH
TEAM";HIGH;N/A;N/A;N/A;N/A;N/A;HIGH;N/A;RUN;TOP3;N/A;N/A;WINNER
"Adore Delano
(Group 1)";23;"Azusa,
CA";6;0;N/A;LOW;WIN;BTM2;N/A;N/A;N/A;WIN;N/A;BTM2;N/A;N/A;"HIGH 

TeamCaptain";N/A;"LOW 

TeamCaptain";HIGH;N/A;N/A;N/A;N/A;N/A;WIN;N/A;RUN;TOP3;N/A;N/A;RUNNERUP
"Courtney Act
(Group 2)";33;"West Hollywood,
CA";6;0;N/A;;SAFE;WIN;N/A;N/A;N/A;LOW;N/A;SAFE;N/A;N/A;WIN;N/A;"HIGH
TEAM";SAFE;N/A;N/A;N/A;N/A;N/A;LOW;N/A;RUN;TOP3;N/A;N/A;RUNNERUP
"Darienne Lake
(Group 2)";41;"Rochester,
NY";6;0;N/A;;"LOW 


MiniChall.Winner";SAFE;N/A;N/A;N/A;BTM2;N/A;LOW;N/A;N/A;LOW;N/A;WIN;SAFE;N/A;N/A;N/A;N/A;N/A;BTM2;N/A;;ELIM;N/A;N/A;GUEST
"BenDeLaCreme
(Group 1)";31;"Seattle,
WA";6;1;N/A;WIN;SAFE;"HIGH 


MiniChall.Winner";N/A;N/A;N/A;BTM2;N/A;HIGH;N/A;N/A;"HIGH 

TeamCaptain";N/A;SAFE;WIN;N/A;N/A;N/A;N/A;N/A;"ELIM


MiniChall.Winner";N/A;;;N/A;N/A;MISSCON
"Joslyn Fox
(Group 2)";26;"Worcester,
MA";6;0;N/A;;HIGH;LOW;N/A;N/A;N/A;LOW;N/A;ELIM;N/A;N/A;SAFE;N/A;"HIGH
TEAM";SAFE;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
"Trinity K. Bonet
(Group 2)";22;"Atlanta,
GA";6;0;N/A;;BTM2;ELIM;N/A;N/A;N/A;HIGH;N/A;;N/A;N/A;BTM2;N/A;"HIGH
TEAM";SAFE;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
"Laganja Estranja
(Group 1)";24;"Dallas,
TX";6;0;N/A;"SAFE


MiniChall.Winner";SAFE;;N/A;N/A;N/A;"WIN


MiniChall.Winner";N/A;;N/A;N/A;SAFE;N/A;SAFE;BTM2;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
"Milk
(Group 2)";25;"New York
City, NY";6;0;N/A;;ELIM;;N/A;N/A;N/A;;N/A;;N/A;N/A;SAFE;N/A;"HIGH
TEAM 

TeamCaptain";LOW;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
"Gia Gunn
(Group 1)";22;"Chicago,
IL";6;0;N/A;HIGH;;;N/A;N/A;N/A;;N/A;;N/A;N/A;SAFE;N/A;SAFE;ELIM;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
"April Carrión
(Group 1)";23;"Guaynabo,
PR";6;0;N/A;HIGH;;;N/A;N/A;N/A;;N/A;;N/A;N/A;ELIM;N/A;BTM2;;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
"Vivacious
(Group 1)";40;"New York
City, NY";6;0;N/A;BTM2;;;N/A;N/A;N/A;;N/A;;N/A;N/A;;N/A;ELIM;;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
"Magnolia Crawford
(Group 2)";28;"Seattle,
WA";6;0;N/A;;;;N/A;N/A;N/A;;N/A;;N/A;N/A;;N/A;;;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
"Kelly Mantle
(Group 1)";37;"Los Angeles,
CA";6;0;N/A;ELIM;;;N/A;N/A;N/A;;N/A;;N/A;N/A;;N/A;;;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;N/A;GUEST
Violet Chachki;22;"Atlanta,
GA";7;0;N/A;WIN;N/A;N/A;N/A;N/A;"WIN


MiniChall.Winner";N/A;N/A;HIGH;SAFE;LOW;HIGH;N/A;SAFE;SAFE;N/A;N/A;LOW;N/A;SAFE;WIN;N/A;RUN;TOP3;N/A;N/A;WINNER
Ginger Minj;29;"Orlando,
FL";7;0;N/A;SAFE;N/A;N/A;N/A;N/A;BTM2;N/A;N/A;BTM2;SAFE;WIN;"WIN

TeamCaptain";N/A;"HIGH
TEAM";WIN;N/A;N/A;SAFE;N/A;"HIGH
TEAM


MiniChall.Winner";"HIGH 


MiniChall.Winner";N/A;RUN;TOP3;N/A;N/A;RUNNERUP
Pearl;23;"Brooklyn,
NY";7;0;N/A;SAFE;N/A;N/A;N/A;N/A;SAFE;N/A;N/A;WIN;BTM2;BTM2;SAFE;N/A;LOW;SAFE;N/A;N/A;WIN;N/A;SAFE;HIGH;N/A;RUN;TOP3;N/A;N/A;RUNNERUP
Kennedy Davenport;33;"Dallas,
TX";7;0;N/A;HIGH;N/A;N/A;N/A;N/A;SAFE;N/A;N/A;"SAFE


MiniChall.Winner";WIN;HIGH;SAFE;N/A;"BTM2

TeamCaptain";WIN;N/A;N/A;HIGH;N/A;"HIGH
TEAM";BTM2;N/A;;ELIM;N/A;N/A;GUEST
Katya;32;"Boston,
MA";7;1;N/A;SAFE;N/A;N/A;N/A;N/A;WIN;N/A;N/A;HIGH;HIGH;HIGH;BTM2;N/A;SAFE;HIGH;N/A;N/A;"SAFE


MiniChall.Winner";N/A;WIN;ELIM;N/A;;;N/A;N/A;MISSCON
Trixie Mattel;24;"Milwaukee,
WI";7;0;N/A;SAFE;N/A;N/A;N/A;N/A;ELIM;N/A;N/A;RTRN;ELIM;"HIGH 


MiniChall.Winner";"SAFE

TeamCaptain";N/A;"HIGH
TEAM";;N/A;N/A;;N/A;;;N/A;;;N/A;N/A;GUEST
Miss Fame;29;"New York
City, NY";7;0;N/A;HIGH;N/A;N/A;N/A;N/A;;N/A;N/A;LOW;SAFE;ELIM;LOW;N/A;"HIGH
TEAM";LOW;N/A;N/A;SAFE;N/A;LOW;;N/A;;;N/A;N/A;GUEST
Jaidynn Diore Fierce;25;"Nashville,
TN";7;0;N/A;SAFE;N/A;N/A;N/A;N/A;;N/A;N/A;ELIM;HIGH;;SAFE;N/A;"HIGH
TEAM";BTM2;N/A;N/A;HIGH;N/A;BTM2;;N/A;;;N/A;N/A;GUEST
Max;22;"Hudson,
WI";7;0;N/A;SAFE;N/A;N/A;N/A;N/A;;N/A;N/A;OUT;SAFE;;SAFE;N/A;"WIN

TeamCaptain";ELIM;N/A;N/A;WIN;N/A;SAFE;;N/A;;;N/A;N/A;GUEST
Kandy Ho;28;"Cayey,
PR";7;0;N/A;BTM2;N/A;N/A;N/A;N/A;;N/A;N/A;OUT;LOW;;SAFE;N/A;SAFE;;N/A;N/A;BTM2;N/A;ELIM;;N/A;;;N/A;N/A;GUEST
Mrs. Kasha Davis;43;"Rochester,
NY";7;0;N/A;SAFE;N/A;N/A;N/A;N/A;;N/A;N/A;OUT;SAFE;;HIGH;N/A;"HIGH
TEAM";;N/A;N/A;"ELIM


MiniChall.Winner";N/A;;;;;;N/A;N/A;GUEST
Jasmine Masters;37;"Los Angeles,
CA";7;0;N/A;LOW;N/A;N/A;N/A;N/A;;N/A;N/A;OUT;;;SAFE;N/A;ELIM;;N/A;N/A;;N/A;;;N/A;;;N/A;N/A;GUEST
Sasha Belle;28;"Iowa City,
IA";7;0;N/A;LOW;N/A;N/A;N/A;N/A;;N/A;N/A;OUT;;;ELIM;N/A;;;N/A;N/A;;N/A;;;N/A;;;N/A;N/A;GUEST
Tempest DuJour;47;"Tucson,
AZ";7;0;N/A;ELIM;N/A;N/A;N/A;N/A;;N/A;N/A;OUT;;;;N/A;;;N/A;N/A;;N/A;;;N/A;;;N/A;N/A;GUEST
Bob The Drag Queen;29;New York, NY;8;0;N/A;SAFE;SAFE;N/A;N/A;N/A;N/A;WIN;N/A;"SAFE


MiniChall.Winner";N/A;N/A;SAFE;N/A;WIN;WIN;N/A;N/A;N/A;N/A;N/A;BTM2;N/A;N/A;TOP3;N/A;N/A;WINNER
Kim Chi;27;Chicago, IL;8;0;N/A;WIN;"HIGH
TEAM";N/A;N/A;N/A;N/A;LOW;N/A;HIGH;N/A;N/A;LOW;N/A;SAFE;SAFE;N/A;N/A;N/A;N/A;N/A;WIN;N/A;N/A;TOP3;N/A;N/A;RUNNERUP
Naomi Smalls;21;Redlands, CA;8;0;N/A;LOW;"HIGH
TEAM";N/A;N/A;N/A;N/A;HIGH;N/A;WIN;N/A;N/A;SAFE;N/A;"SAFE

TeamCaptain";BTM2;N/A;N/A;N/A;N/A;N/A;HIGH;N/A;N/A;TOP3;N/A;N/A;RUNNERUP
Chi Chi DeVayne;29;Shreveport, LA;8;0;N/A;SAFE;BTM2;N/A;N/A;N/A;N/A;BTM2;N/A;LOW;N/A;N/A;"WIN

TeamCaptain";N/A;SAFE;SAFE;N/A;N/A;N/A;N/A;N/A;"HIGH 


MiniChall.Winner";N/A;N/A;ELIM;N/A;N/A;GUEST
Derrick Barry;32;Las Vegas, NV;8;0;N/A;HIGH;LOW;N/A;N/A;N/A;N/A;"WIN


MiniChall.Winner";N/A;BTM2;N/A;N/A;SAFE;N/A;LOW;HIGH;N/A;N/A;N/A;N/A;N/A;ELIM;N/A;N/A;;N/A;N/A;GUEST
Thorgy Thor;31;Brooklyn, NY;8;0;N/A;SAFE;SAFE;N/A;N/A;N/A;N/A;ELIM;N/A;SAFE;N/A;N/A;HIGH;N/A;HIGH;HIGH;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;;N/A;N/A;GUEST
Robbie Turner;33;Seattle, WA;8;0;N/A;"LOW 


MiniChall.Winner";WIN;N/A;N/A;N/A;N/A;;N/A;ELIM;N/A;N/A;SAFE;N/A;BTM2;LOW;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;;N/A;N/A;GUEST
Acid Betty;38;Brooklyn, NY;8;0;N/A;HIGH;SAFE;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;HIGH;N/A;HIGH;ELIM;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;;N/A;N/A;GUEST
Naysha Lopez;31;Chicago, IL;8;0;N/A;ELIM;ELIM;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;;N/A;"RTRN
+
SAFE

TeamCaptain";;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;;N/A;N/A;GUEST
Cynthia Lee Fontaine;34;Austin, TX;8;1;N/A;SAFE;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;"SAFE

TeamCaptain";N/A;ELIM;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;;N/A;N/A;MISSCON
Dax ExclamationPoint;31;Savannah, GA;8;0;N/A;SAFE;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;ELIM;N/A;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;;N/A;N/A;GUEST
Laila McQueen;22;Gloucester, MA;8;0;N/A;BTM2;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;ELIM;N/A;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;;N/A;N/A;GUEST
Sasha Velour;29;Brooklyn, NY;9;0;N/A;HIGH;N/A;WIN;N/A;HIGH;SAFE;WIN;N/A;HIGH;N/A;N/A;SAFE;N/A;LOW;HIGH;N/A;N/A;N/A;N/A;N/A;"HIGH 


MiniChall.Winner";N/A;N/A;N/A;N/A;TOP4;WINNER
Peppermint;37;New York, NY;9;0;N/A;SAFE;N/A;LOW;N/A;SAFE;SAFE;HIGH;N/A;SAFE;N/A;N/A;HIGH;N/A;SAFE;BTM2;N/A;N/A;N/A;N/A;N/A;BTM2;N/A;N/A;N/A;N/A;TOP4;LOST3RDROUND
Shea Couleé;27;Chicago, IL;9;0;N/A;WIN;N/A;WIN;N/A;SAFE;HIGH;WIN;N/A;BTM2;N/A;N/A;WIN;N/A;HIGH;SAFE;N/A;N/A;N/A;N/A;N/A;WIN;N/A;N/A;N/A;N/A;TOP4;LOST2NDROUND
Trinity Taylor;31;Orlando, FL;9;0;N/A;SAFE;N/A;"BTM2

TeamCaptain";N/A;SAFE;HIGH;HIGH;N/A;WIN;N/A;N/A;SAFE;N/A;WIN;SAFE;N/A;N/A;N/A;N/A;N/A;LOW;N/A;N/A;N/A;N/A;TOP4;LOST1STROUND
Alexis Michelle;33;New York, NY;9;0;N/A;SAFE;N/A;"HIGH
TEAM";N/A;SAFE;SAFE;LOW;N/A;LOW;N/A;N/A;"HIGH 


MiniChall.Winner";N/A;SAFE;WIN;N/A;N/A;N/A;N/A;N/A;ELIM;N/A;N/A;N/A;N/A;;GUEST
Nina Bo'nina Brown;34;Riverdale, GA;9;0;N/A;HIGH;N/A;SAFE;N/A;WIN;"SAFE

TeamCaptain";BTM2;N/A;ELIM;N/A;N/A;LOW;N/A;BTM2;HIGH;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Valentina;25;Echo Park, CA;9;1;N/A;LOW;N/A;"HIGH
TEAM";N/A;SAFE;WIN;ELIM;N/A;;N/A;N/A;SAFE;N/A;HIGH;SAFE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Farrah Moan;23;Las Vegas, NV;9;0;N/A;BTM2;N/A;"HIGH
TEAM";N/A;SAFE;SAFE;;N/A;;N/A;N/A;BTM2;N/A;SAFE;LOW;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Aja;22;Brooklyn, NY;9;0;N/A;SAFE;N/A;"HIGH
TEAM 

TeamCaptain";N/A;SAFE;SAFE;;N/A;;N/A;N/A;SAFE;N/A;ELIM;SAFE;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Cynthia Lee Fontaine;35;Austin, TX;9;0;N/A;SAFE;N/A;SAFE;N/A;IN;"SAFE

TeamCaptain";;N/A;;N/A;N/A;BTM2;N/A;;ELIM;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Eureka O'Hara (departed);25;Johnson City, TN;9;0;N/A;SAFE;N/A;SAFE;N/A;HIGH;SAFE;;N/A;;N/A;N/A;"SAFE
+
DEPT";N/A;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Charlie Hides;52;Boston, MA;9;0;N/A;ELIM;N/A;ELIM;N/A;SAFE;LOW;;N/A;;N/A;N/A;;N/A;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Kimora Blac;28;Las Vegas, NV;9;0;N/A;;N/A;;N/A;SAFE;BTM2;;N/A;;N/A;N/A;;N/A;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Jaymes Mansfield;26;Milwaukee, WI;9;0;N/A;;N/A;;N/A;SAFE;ELIM;;N/A;;N/A;N/A;;N/A;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Aquaria;21;"Brooklyn,
NY";10;0;N/A;SAFE;N/A;SAFE;N/A;WIN;N/A;SAFE;SAFE;N/A;N/A;N/A;SAFE;LOW;"HIGH 
Mini Chall. Winner";WIN;N/A;N/A;N/A;N/A;N/A;"WIN
Mini Chall. Winner";N/A;N/A;N/A;N/A;TOP 4;WINNER
Eureka O'Hara ;27;"Johnson City,
TN";10;0;N/A;SAFE;N/A;WIN;N/A;HIGH;N/A;HIGH;WIN;N/A;N/A;N/A;BTM2;SAFE;BTM2;"HIGH 
Mini Chall. Winner";N/A;N/A;N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;TOP 4;LOST 3RD ROUND
Kameron Michaels;31;"Nashville,
TN";10;0;N/A;SAFE;N/A;SAFE;N/A;BTM2;N/A;LOW;"HIGH
TEAM";N/A;N/A;N/A;"HIGH
TEAM";WIN;BTM2;SAFE;N/A;N/A;N/A;N/A;N/A;HIGH;N/A;N/A;N/A;N/A;TOP 4;LOST 3RD ROUND
Asia O'Hara;35;"Dallas,
TX";10;0;N/A;SAFE;N/A;SAFE;N/A;"HIGH 
Mini Chall. Winner";N/A;WIN;"SAFE
Mini Chall. Winner";N/A;N/A;N/A;"SAFE
Team Captain";"BTM2
Mini Chall. Winner";WIN;LOW;N/A;N/A;N/A;N/A;N/A;LOW;N/A;N/A;N/A;N/A;TOP 4;LOST 1ST ROUND
Miz Cracker;33;"Harlem,
NY";10;0;N/A;HIGH;N/A;HIGH;N/A;ELIM;N/A;SAFE;LOW;N/A;N/A;N/A;"HIGH
TEAM";SAFE;LOW;SAFE;N/A;N/A;N/A;N/A;N/A;HIGH;N/A;N/A;N/A;N/A;;GUEST
Monet X Change;27;"The Bronx,
NY";10;1;N/A;"SAFE
Mini Chall. Winner";N/A;BTM2;N/A;;N/A;"SAFE
Team Captain";"HIGH
TEAM";N/A;N/A;N/A;"HIGH
TEAM";HIGH;HIGH;HIGH;N/A;N/A;N/A;N/A;N/A;BTM2;N/A;N/A;N/A;N/A;;MISSCON
The Vixen;26;"Chicago,
IL";10;0;N/A;SAFE;N/A;"LOW 
Mini Chall. Winner";N/A;;N/A;SAFE;BTM2;N/A;N/A;N/A;"WIN
Team Captain";ELIM;;BTM2;N/A;N/A;N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;GUEST
Monique Heart;31;"Kansas City,
MO";10;0;N/A;SAFE;N/A;HIGH;N/A;;N/A;"SAFE
Team
Captain";SAFE;N/A;N/A;N/A;LOW;;;ELIM;N/A;N/A;N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;GUEST
Blair St. Clair;22;"Indianapolis,
IN";10;0;N/A;HIGH;N/A;SAFE;N/A;;N/A;"HIGH 
Team Captain";ELIM;N/A;N/A;N/A;"HIGH
TEAM";;;;N/A;N/A;N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;GUEST
Mayhem Miller;35;"Riverside,
CA";10;0;N/A;WIN;N/A;ELIM;N/A;;N/A;BTM2;;N/A;N/A;N/A;"HIGH
TEAM";;;;N/A;N/A;N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;GUEST
Dusty Ray Bottoms;29;"New York,
NY";10;0;N/A;LOW;N/A;;N/A;;N/A;SAFE;;N/A;N/A;N/A;SAFE;;;;N/A;N/A;N/A;N/A;N/A;ELIM;N/A;N/A;N/A;N/A;;GUEST
Yuhua Hamasaki;27;"New York,
NY";10;0;N/A;HIGH;N/A;;N/A;;N/A;ELIM;;N/A;N/A;N/A;SAFE;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Kalorie Karbdashian-Williams;27;"Albuquerque,
NM";10;0;N/A;BTM2;N/A;;N/A;;N/A;;;N/A;N/A;N/A;ELIM;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Vanessa Vanjie Mateo;25;"Tampa,
FL";10;0;N/A;ELIM;N/A;;N/A;;N/A;;;N/A;N/A;N/A;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Yvie Oddly;24;"Denver,
CO";11;0;N/A;SAFE;N/A;"HIGH
TEAM";SAFE;N/A;"HIGH
TEAM";N/A;N/A;LOW;N/A;N/A;HIGH;N/A;WIN;BTM2;HIGH;N/A;SAFE;N/A;N/A;HIGH;N/A;N/A;N/A;N/A;HIGH;WINNER
BrookeLynnHytes;32;"Nashville,
TN";11;0;N/A;WIN;N/A;"HIGH
TEAM";"HIGH 


MiniChall.Winner";N/A;"WIN

TeamCaptain";N/A;N/A;"WIN


MiniChall.Winner";N/A;N/A;HIGH;N/A;"LOW 

TeamCaptain";BTM2;HIGH;N/A;HIGH;N/A;N/A;WIN;N/A;N/A;N/A;N/A;BTM2;LOST3RDROUND
